,title,publication_info,cited_by
261,"Machine learning and deep learning based computational techniques in automatic agricultural diseases detection: Methodologies, applications, and challenges","JA Wani, S Sharma, M Muzamil, S Ahmed… - … methods in Engineering, 2022 - Springer",Cited by 157
262,A machine learning approach for corrosion small datasets,"T Sutojo, S Rustad, M Akrom, A Syukur… - npj Materials …, 2023 - nature.com",Cited by 52
263,Machine learning–enabled high-entropy alloy discovery,"Z Rao, PY Tung, R Xie, Y Wei, H Zhang, A Ferrari… - Science, 2022 - science.org",Cited by 280
264,"Machine Learning, Deep Learning and Statistical Analysis for forecasting building energy consumption—A systematic review","M Khalil, AS McGough, Z Pourmirza… - … Applications of Artificial …, 2022 - Elsevier",Cited by 122
265,From prediction to design: recent advances in machine learning for the study of 2D materials,"H He, Y Wang, Y Qi, Z Xu, Y Li, Y Wang - Nano Energy, 2023 - Elsevier",Cited by 19
266,Machine learning and artificial intelligence in research and healthcare,"L Rubinger, A Gazendam, S Ekhtiari, M Bhandari - Injury, 2023 - Elsevier",Cited by 85
267,Sustainability and Optimization of Green and Lean Manufacturing Processes Using Machine Learning Techniques,"RB Ingle, S Swathi, G Mahendran… - … for Sustainability in …, 2023 - igi-global.com",Cited by 53
268,Machine learning in biohydrogen production: a review,"A Alagumalai, B Devarajan, H Song… - Biofuel Research …, 2023 - biofueljournal.com",Cited by 25
269,Machine learning methods in weather and climate applications: A survey,"L Chen, B Han, X Wang, J Zhao, W Yang, Z Yang - Applied Sciences, 2023 - mdpi.com",Cited by 37
270,[HTML][HTML] Chronic kidney disease prediction based on machine learning algorithms,"MA Islam, MZH Majumder, MA Hussein - Journal of pathology informatics, 2023 - Elsevier",Cited by 99
271,When not to use machine learning: A perspective on potential and limitations,"MR Carbone - MRS Bulletin, 2022 - Springer",Cited by 40
272,[PDF][PDF] Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,"AKY Yanamala - International Journal of Machine Learning Research …, 2023 - ijmlrcai.com",Cited by 73
273,Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton… - NPJ digital …, 2022 - nature.com",Cited by 102
274,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang - Reliability Engineering & …, 2023 - Elsevier",Cited by 155
275,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi - Progress in Particle and Nuclear Physics, 2023 - Elsevier",Cited by 41
276,High-energy nuclear physics meets machine learning,"WB He, YG Ma, LG Pang, HC Song, K Zhou - Nuclear Science and …, 2023 - Springer",Cited by 51
277,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn - arXiv preprint arXiv:2201.12150, 2022 - arxiv.org",Cited by 63
278,Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi - Sustainability, 2022 - mdpi.com",Cited by 142
279,[HTML][HTML] Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan - Advances in Applied Energy, 2023 - Elsevier",Cited by 136
280,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng - Transactions on machine learning …, 2023 - par.nsf.gov",Cited by 53
281,[PDF][PDF] Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia… - Computer Science & IT …, 2024 - researchgate.net",Cited by 28
282,[PDF][PDF] Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu… - Opto-Electronic …, 2022 - researching.cn",Cited by 104
283,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz… - BMC Medical Informatics …, 2023 - Springer",Cited by 179
284,Machine learning in agriculture: a review of crop management applications,"I Attri, LK Awasthi, TP Sharma - Multimedia Tools and Applications, 2024 - Springer",Cited by 34
285,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu… - Proceedings of the 5th …, 2024 - dl.acm.org",Cited by 56
286,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad - Applied Intelligence, 2022 - Springer",Cited by 288
287,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning… - Big Data Mining and …, 2022 - ieeexplore.ieee.org",Cited by 105
288,[HTML][HTML] Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup… - Nature …, 2023 - nature.com",Cited by 149
289,Machine learning model sizes and the parameter gap,"P Villalobos, J Sevilla, T Besiroglu, L Heim… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 58
290,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray… - Proceedings of Second …, 2022 - Springer",Cited by 72
291,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi… - … Applications of Artificial …, 2024 - Elsevier",Cited by 8
292,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri… - Materials Today …, 2023 - Elsevier",Cited by 23
293,Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie - Sustainability, 2023 - mdpi.com",Cited by 66
294,[PDF][PDF] Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan - 2023 - easychair.org",Cited by 130
295,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi… - Energy, 2023 - Elsevier",Cited by 44
296,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani… - Radiology: Artificial …, 2022 - pubs.rsna.org",Cited by 83
297,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary - Resources Policy, 2023 - Elsevier",Cited by 39
298,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam… - IEEE …, 2022 - ieeexplore.ieee.org",Cited by 178
299,[BOOK][B] Random matrix methods for machine learning,"R Couillet, Z Liao - 2022 - books.google.com",Cited by 70
300,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios… - Journal of Engineering …, 2023 - classical.goforpromo.com",Cited by 197
301,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer… - European Journal of …, 2022 - Elsevier",Cited by 307
302,[BOOK][B] Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren - 2022 - library.oapen.org",Cited by 65
303,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort… - Angewandte Chemie …, 2022 - Wiley Online Library",Cited by 107
304,[HTML][HTML] Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe… - Nature …, 2022 - nature.com",Cited by 410
305,Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour… - …, 2022 - thelancet.com",Cited by 61
306,Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im… - Nature …, 2022 - nature.com",Cited by 102
307,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 115
308,Leaf disease detection using machine learning and deep learning: Review and challenges,"C Sarkar, D Gupta, U Gupta, BB Hazarika - Applied Soft Computing, 2023 - Elsevier",Cited by 68
309,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi… - … Journal of Data and …, 2023 - growingscience.com",Cited by 93
310,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang - Science China Physics …, 2023 - Springer",Cited by 60
311,Applications of machine learning techniques for enhancing nondestructive food quality and safety detection,"Y Lin, J Ma, Q Wang, DW Sun - Critical Reviews in Food Science …, 2023 - Taylor & Francis",Cited by 70
312,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh… - Bioresource …, 2023 - Elsevier",Cited by 60
313,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan… - Annual Review of …, 2022 - annualreviews.org",Cited by 32
314,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals - Methods in Ecology and Evolution, 2022 - Wiley Online Library",Cited by 22
315,"Why black box machine learning should be avoided for high-stakes decisions, in brief","C Rudin - Nature Reviews Methods Primers, 2022 - nature.com",Cited by 49
316,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu… - SciPost Physics …, 2022 - scipost.org",Cited by 101
317,Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu… - npj Digital …, 2022 - nature.com",Cited by 157
318,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong… - … and Information Systems, 2022 - Springer",Cited by 235
319,Integration of knowledge and data in machine learning,"Y Chen, D Zhang - arXiv preprint arXiv:2202.10337, 2022 - arxiv.org",Cited by 43
320,Artificial intelligence and machine learning technology driven modern drug discovery and development,"C Sarkar, B Das, VS Rawat, JB Wahlang… - International Journal of …, 2023 - mdpi.com",Cited by 110
321,[HTML][HTML] Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi - Robotics and Computer-Integrated …, 2023 - Elsevier",Cited by 158
322,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi - Computing, 2022 - Springer",Cited by 265
323,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi… - Journal of Healthcare …, 2022 - Wiley Online Library",Cited by 167
324,Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia… - … in bioengineering and …, 2022 - frontiersin.org",Cited by 73
325,Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu… - Chemical Society …, 2022 - pubs.rsc.org",Cited by 91
326,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz… - Modeling Earth Systems …, 2022 - Springer",Cited by 114
327,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde… - Materials Today …, 2023 - Elsevier",Cited by 134
328,Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande - International Journal of Environmental Science and …, 2023 - Springer",Cited by 147
329,On the analyses of medical images using traditional machine learning techniques and convolutional neural networks,"S Iqbal, A N. Qureshi, J Li, T Mahmood - Archives of Computational …, 2023 - Springer",Cited by 71
330,Supervised machine learning and associated algorithms: applications in orthopedic surgery,"JA Pruneski, A Pareek, KN Kunze, RK Martin… - Knee Surgery, Sports …, 2023 - Springer",Cited by 35
331,Tackling prediction uncertainty in machine learning for healthcare,"M Chua, D Kim, J Choi, NG Lee… - Nature Biomedical …, 2023 - nature.com",Cited by 43
332,Predicting agriculture yields based on machine learning using regression and deep learning,"P Sharma, P Dadheech, N Aneja, S Aneja - IEEE Access, 2023 - ieeexplore.ieee.org",Cited by 34
333,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski - Science Progress, 2022 - journals.sagepub.com",Cited by 146
334,Cellular traffic prediction with machine learning: A survey,"W Jiang - Expert Systems with Applications, 2022 - Elsevier",Cited by 96
335,[HTML][HTML] Adaptive machine learning for protein engineering,"BL Hie, KK Yang - Current opinion in structural biology, 2022 - Elsevier",Cited by 85
336,Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu - Journal of Big Data, 2022 - Springer",Cited by 187
337,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles… - PRX Quantum, 2022 - APS",Cited by 135
338,[HTML][HTML] Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach - Artificial Intelligence, 2022 - Elsevier",Cited by 217
339,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 142
340,[HTML][HTML] Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi… - Global Transitions …, 2022 - Elsevier",Cited by 254
341,Predicting Fetal Health using Cardiotocograms: A Machine Learning Approach,"RR Dixit - Journal of Advanced Analytics in Healthcare …, 2022 - research.tensorgate.org",Cited by 52
342,[Retracted] A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi… - Journal of healthcare …, 2022 - Wiley Online Library",Cited by 204
343,A robust chronic kidney disease classifier using machine learning,"D Swain, U Mehta, A Bhatt, H Patel, K Patel, D Mehta… - Electronics, 2023 - mdpi.com",Cited by 47
344,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique - Artificial Intelligence in Medicine, 2022 - Elsevier",Cited by 254
345,Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li - Frontiers in Microbiology, 2022 - frontiersin.org",Cited by 36
346,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min - Big Data & Society, 2022 - journals.sagepub.com",Cited by 43
347,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva… - Journal of chemical …, 2022 - ACS Publications",Cited by 122
348,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang - Engineering Geology, 2022 - Elsevier",Cited by 115
349,Climate-invariant machine learning,"T Beucler, P Gentine, J Yuval, A Gupta, L Peng… - Science …, 2024 - science.org",Cited by 50
350,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson - Nature Methods, 2023 - nature.com",Cited by 263
351,[HTML][HTML] Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay… - Chemical Engineering …, 2022 - Elsevier",Cited by 60
352,"Machine learning for the discovery, design, and engineering of materials","C Duan, A Nandy, HJ Kulik - Annual Review of Chemical and …, 2022 - annualreviews.org",Cited by 30
353,Chemical reaction networks and opportunities for machine learning,"M Wen, EWC Spotte-Smith, SM Blau… - Nature Computational …, 2023 - nature.com",Cited by 59
354,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim - Neurocomputing, 2023 - Elsevier",Cited by 58
355,Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada - SN Applied Sciences, 2022 - Springer",Cited by 105
356,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran - Prx Quantum, 2022 - APS",Cited by 156
357,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman… - ACM Journal on …, 2024 - dl.acm.org",Cited by 108
358,Machine learning for dementia prediction: a systematic review and future research directions,"A Javeed, AL Dallora, JS Berglund, A Ali, L Ali… - Journal of medical …, 2023 - Springer",Cited by 61
359,Recent developments in causal inference and machine learning,"JE Brand, X Zhou, Y Xie - Annual Review of Sociology, 2023 - annualreviews.org",Cited by 26
360,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le… - Proceedings of the …, 2022 - dl.acm.org",Cited by 105
361,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 57
362,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani - International Journal of Applied …, 2023 - papers.ssrn.com",Cited by 124
363,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen - Journal of Intelligent …, 2022 - Springer",Cited by 195
364,[PDF][PDF] Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,"CK Suryadevara - IEJRD-International Multidisciplinary Journal, 2023 - researchgate.net",Cited by 33
365,[PDF][PDF] Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,"H Rehan - Innovative Computer Sciences Journal, 2023 - researchgate.net",Cited by 46
366,A review of data-driven machinery fault diagnosis using machine learning algorithms,"J Cen, Z Yang, X Liu, J Xiong, H Chen - Journal of Vibration Engineering & …, 2022 - Springer",Cited by 75
367,[HTML][HTML] Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz… - BioMed Research …, 2022 - ncbi.nlm.nih.gov",Cited by 73
368,[HTML][HTML] Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal… - Machine Learning with …, 2022 - Elsevier",Cited by 204
369,Exploring catalytic reaction networks with machine learning,"JT Margraf, H Jung, C Scheurer, K Reuter - Nature Catalysis, 2023 - nature.com",Cited by 61
370,[BOOK][B] Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam - 2023 - books.google.com",Cited by 27
371,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani - Procedia Computer Science, 2023 - Elsevier",Cited by 34
372,Machine learning for detection and prediction of crop diseases and pests: A comprehensive survey,"T Domingues, T Brandão, JC Ferreira - Agriculture, 2022 - mdpi.com",Cited by 103
373,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay - … Science and Machine Learning, 2023 - igi-global.com",Cited by 33
374,Integrated sensing and communication for 6G: Ten key machine learning roles,"U Demirhan, A Alkhateeb - IEEE Communications Magazine, 2023 - ieeexplore.ieee.org",Cited by 76
375,MAGUS: machine learning and graph theory assisted universal structure searcher,"J Wang, H Gao, Y Han, C Ding, S Pan… - National Science …, 2023 - academic.oup.com",Cited by 35
376,Attacks on machine learning systems-common problems and methods,"E Ilyushin, D Namiot, I Chizhov - International Journal of Open Information …, 2022 - injoit.org",Cited by 45
377,Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo - Genome biology, 2022 - Springer",Cited by 116
378,Machine learning for intelligent energy consumption in smart homes,"A Alzoubi - International Journal of Computations, Information …, 2022 - journals.gaftim.com",Cited by 182
379,[HTML][HTML] Soft electronics for health monitoring assisted by machine learning,"Y Qiao, J Luo, T Cui, H Liu, H Tang, Y Zeng, C Liu… - Nano-Micro Letters, 2023 - Springer",Cited by 50
380,Using machine learning in photovoltaics to create smarter and cleaner energy generation systems: A comprehensive review,"A Sohani, H Sayyaadi, C Cornaro… - Journal of Cleaner …, 2022 - Elsevier",Cited by 59
381,ktrain: A low-code library for augmented machine learning,"AS Maiya - Journal of Machine Learning Research, 2022 - jmlr.org",Cited by 168
382,Machine learning and artificial intelligence use in marketing: a general taxonomy,"A De Mauro, A Sestino, A Bacconi - Italian Journal of Marketing, 2022 - Springer",Cited by 66
383,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti - Progress in Energy and …, 2022 - Elsevier",Cited by 179
384,[HTML][HTML] A survey of machine learning in kidney disease diagnosis,"J Qezelbash-Chamak, S Badamchizadeh… - Machine Learning with …, 2022 - Elsevier",Cited by 29
385,Reimagining multi-criterion decision making by data-driven methods based on machine learning: A literature review,"H Liao, Y He, X Wu, Z Wu, R Bausys - Information Fusion, 2023 - Elsevier",Cited by 28
386,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam… - Advanced Intelligent …, 2022 - Wiley Online Library",Cited by 147
387,Twenty years of machine-learning-based text classification: A systematic review,"A Palanivinayagam, CZ El-Bayeh, R Damaševičius - Algorithms, 2023 - mdpi.com",Cited by 38
388,[HTML][HTML] How machine learning informs ride-hailing services: A survey,"Y Liu, R Jia, J Ye, X Qu - Communications in Transportation Research, 2022 - Elsevier",Cited by 87
389,A survey for solving mixed integer programming via machine learning,"J Zhang, C Liu, X Li, HL Zhen, M Yuan, Y Li, J Yan - Neurocomputing, 2023 - Elsevier",Cited by 62
390,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang - Reliability Engineering & System …, 2022 - Elsevier",Cited by 221
391,Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez - Artificial Intelligence Review, 2023 - Springer",Cited by 121
392,[HTML][HTML] Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili - Decision Analytics Journal, 2022 - Elsevier",Cited by 122
393,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk… - Science of the Total …, 2022 - Elsevier",Cited by 90
394,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre - Progress in Materials Science, 2023 - Elsevier",Cited by 48
395,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi… - 2022 2nd …, 2022 - ieeexplore.ieee.org",Cited by 39
396,Dequantizing algorithms to understand quantum advantage in machine learning,"E Tang - Nature Reviews Physics, 2022 - nature.com",Cited by 24
397,A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni - Aging Clinical and Experimental Research, 2023 - Springer",Cited by 38
398,[HTML][HTML] Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson - Canadian Journal of Cardiology, 2022 - Elsevier",Cited by 353
399,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen - The Journal of Defense …, 2022 - journals.sagepub.com",Cited by 215
400,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari… - Proceedings of the …, 2023 - National Acad Sciences",Cited by 64
401,Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi - Electronics, 2023 - mdpi.com",Cited by 27
402,Intrusion detection system using feature extraction with machine learning algorithms in IoT,"D Musleh, M Alotaibi, F Alhaidari, A Rahman… - Journal of Sensor and …, 2023 - mdpi.com",Cited by 57
403,[HTML][HTML] A pipeline and comparative study of 12 machine learning models for text classification,"A Occhipinti, L Rogers, C Angione - Expert Systems with Applications, 2022 - Elsevier",Cited by 49
404,Beyond generalization: a theory of robustness in machine learning,"T Freiesleben, T Grote - Synthese, 2023 - Springer",Cited by 28
405,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli… - Chemical Engineering …, 2022 - Elsevier",Cited by 103
406,Application of machine learning algorithms in hydrology,"H Mosaffa, M Sadeghi, I Mallakpour… - Computers in earth and …, 2022 - Elsevier",Cited by 47
407,Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin… - AgriEngineering, 2022 - mdpi.com",Cited by 161
408,Explaining machine learning models with interactive natural language conversations using TalkToModel,"D Slack, S Krishna, H Lakkaraju, S Singh - Nature Machine Intelligence, 2023 - nature.com",Cited by 48
409,A comparative study on student performance prediction using machine learning,"Y Chen, L Zhai - Education and Information Technologies, 2023 - Springer",Cited by 37
410,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito - Transport Reviews, 2023 - Taylor & Francis",Cited by 70
411,HealthGuard: An intelligent healthcare system security framework based on machine learning,"A Sundas, S Badotra, S Bharany, A Almogren… - Sustainability, 2022 - mdpi.com",Cited by 32
412,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad… - Mobile Information …, 2022 - Wiley Online Library",Cited by 105
413,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa… - … Methods in Engineering, 2022 - Springer",Cited by 141
414,"[HTML][HTML] The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li - Remote Sensing, 2022 - mdpi.com",Cited by 49
415,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar - International Journal of …, 2022 - Wiley Online Library",Cited by 54
416,Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju… - Nature …, 2022 - nature.com",Cited by 111
417,Quantum machine learning—an overview,"KA Tychola, T Kalampokas, GA Papakostas - Electronics, 2023 - mdpi.com",Cited by 32
418,Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach - The International Journal of Life …, 2022 - Springer",Cited by 74
419,Secure preschool education using machine learning and metaverse technologies,"Q Zhang - Applied Artificial Intelligence, 2023 - Taylor & Francis",Cited by 29
420,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn… - The Lancet …, 2022 - thelancet.com",Cited by 45
421,"Machine learning and artificial intelligence in disease prediction: Applications, challenges, limitations, case studies, and future directions","K Ramudu, VM Mohan, D Jyothirmai… - … Applications of Data …, 2023 - igi-global.com",Cited by 92
422,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha - Expert Systems with …, 2022 - Elsevier",Cited by 120
423,"Comprehensive review of machine learning in geotechnical reliability analysis: Algorithms, applications and further challenges","W Zhang, X Gu, L Hong, L Han, L Wang - Applied Soft Computing, 2023 - Elsevier",Cited by 63
424,Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt - Sports Biomechanics, 2024 - Taylor & Francis",Cited by 52
425,A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay - Multimedia Tools and Applications, 2022 - Springer",Cited by 91
426,Machine learning techniques for breast cancer prediction,"V Nemade, V Fegade - Procedia Computer Science, 2023 - Elsevier",Cited by 42
427,[PDF][PDF] Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan… - … Automation & Soft …, 2022 - researchgate.net",Cited by 95
428,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou - Interactive Learning …, 2023 - Taylor & Francis",Cited by 184
429,"A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang - Sensors, 2023 - mdpi.com",Cited by 88
430,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami - Mobile Networks and …, 2023 - Springer",Cited by 277
431,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao - Waste Management & …, 2022 - journals.sagepub.com",Cited by 139
432,The role of machine learning and deep learning approaches for the detection of skin cancer,"T Mazhar, I Haq, A Ditta, SAH Mohsan, F Rehman… - Healthcare, 2023 - mdpi.com",Cited by 62
433,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu… - arXiv preprint arXiv …, 2022 - arxiv.org",Cited by 103
