,title,authors,year,venue,publisher,citation_count,avg_citations_per_year
265,From prediction to design: recent advances in machine learning for the study of 2D materials,"H He, Y Wang, Y Qi, Z Xu, Y Li, Y Wang ",2023 ,Nano Energy,Elsevier, 19,10.0
266,Machine learning and artificial intelligence in research and healthcare,"L Rubinger, A Gazendam, S Ekhtiari, M Bhandari ",2023 ,Injury,Elsevier, 85,42.0
267,Sustainability and Optimization of Green and Lean Manufacturing Processes Using Machine Learning Techniques,"RB Ingle, S Swathi, G Mahendran… ",2023 ,… for Sustainability in …,igi-global.com, 53,26.0
268,Machine learning in biohydrogen production: a review,"A Alagumalai, B Devarajan, H Song… ",2023 ,Biofuel Research …,biofueljournal.com, 25,12.0
269,Machine learning methods in weather and climate applications: A survey,"L Chen, B Han, X Wang, J Zhao, W Yang, Z Yang ",2023 ,Applied Sciences,mdpi.com, 37,18.0
270,[HTML][HTML] Chronic kidney disease prediction based on machine learning algorithms,"MA Islam, MZH Majumder, MA Hussein ",2023 ,Journal of pathology informatics,Elsevier, 99,50.0
271,When not to use machine learning: A perspective on potential and limitations,MR Carbone ,2022 ,MRS Bulletin,Springer, 40,13.0
272,[PDF][PDF] Secure and Private AI: Implementing Advanced Data Protection Techniques in Machine Learning Models,AKY Yanamala ,2023 ,International Journal of Machine Learning Research …,ijmlrcai.com, 73,36.0
273,Human–machine teaming is key to AI adoption: clinicians' experiences with a deployed machine learning system,"KE Henry, R Kornfield, A Sridharan, RC Linton… ",2022 ,NPJ digital …,nature.com, 102,34.0
274,Physics-informed machine learning for reliability and systems safety applications: State of the art and challenges,"Y Xu, S Kohtz, J Boakye, P Gardoni, P Wang ",2023 ,Reliability Engineering & …,Elsevier, 155,78.0
275,Exploring QCD matter in extreme conditions with Machine Learning,"K Zhou, L Wang, LG Pang, S Shi ",2023 ,Progress in Particle and Nuclear Physics,Elsevier, 41,20.0
276,High-energy nuclear physics meets machine learning,"WB He, YG Ma, LG Pang, HC Song, K Zhou ",2023 ,Nuclear Science and …,Springer, 51,26.0
277,Learning Curves for Decision Making in Supervised Machine Learning--A Survey,"F Mohr, JN van Rijn ",2022 ,arXiv preprint arXiv:2201.12150,arxiv.org, 63,21.0
278,Machine learning and deep learning in energy systems: A review,"MM Forootan, I Larki, R Zahedi, A Ahmadi ",2022 ,Sustainability,mdpi.com, 142,47.0
279,[HTML][HTML] Interpretable machine learning for building energy management: A state-of-the-art review,"Z Chen, F Xiao, F Guo, J Yan ",2023 ,Advances in Applied Energy,Elsevier, 136,68.0
280,The vendi score: A diversity evaluation metric for machine learning,"D Dan Friedman, AB Dieng ",2023 ,Transactions on machine learning …,par.nsf.gov, 53,26.0
281,[PDF][PDF] Machine learning software for optimizing SME social media marketing campaigns,"WE Kedi, C Ejimuda, C Idemudia… ",2024 ,Computer Science & IT …,researchgate.net, 28,28.0
282,[PDF][PDF] Adaptive optics based on machine learning: a review,"Y Guo, L Zhong, L Min, J Wang, Y Wu… ",2022 ,Opto-Electronic …,researching.cn, 104,35.0
283,MRI-based brain tumor detection using convolutional deep learning methods and chosen machine learning techniques,"S Saeedi, S Rezayi, H Keshavarz… ",2023 ,BMC Medical Informatics …,Springer, 179,90.0
284,Machine learning in agriculture: a review of crop management applications,"I Attri, LK Awasthi, TP Sharma ",2024 ,Multimedia Tools and Applications,Springer, 34,34.0
285,Application of machine learning optimization in cloud computing resource scheduling and management,"Y Zhang, B Liu, Y Gong, J Huang, J Xu… ",2024 ,Proceedings of the 5th …,dl.acm.org, 56,56.0
286,A comprehensive survey on feature selection in the various fields of machine learning,"P Dhal, C Azad ",2022 ,Applied Intelligence,Springer, 288,96.0
287,"A mini-review of machine learning in big data analytics: Applications, challenges, and prospects","IK Nti, JA Quarcoo, J Aning… ",2022 ,Big Data Mining and …,ieeexplore.ieee.org, 105,35.0
288,[HTML][HTML] Quantum machine learning beyond kernel methods,"S Jerbi, LJ Fiderer, H Poulsen Nautrup… ",2023 ,Nature …,nature.com, 149,74.0
289,Machine learning model sizes and the parameter gap,"P Villalobos, J Sevilla, T Besiroglu, L Heim… ",2022 ,arXiv preprint arXiv …,arxiv.org, 58,19.0
290,Using Machine Learning and Data Mining to Evaluate Modern Financial Management Techniques,"A Al Ayub Ahmed, S Rajesh, S Lohana, S Ray… ",2022 ,Proceedings of Second …,Springer, 72,24.0
291,"A systematic review and meta-analysis of machine learning, deep learning, and ensemble learning approaches in predicting EV charging behavior","E Yaghoubi, E Yaghoubi, A Khamees, D Razmi… ",2024 ,… Applications of Artificial …,Elsevier, 8,8.0
292,Machine-learning-driven accelerated design-method for meta-devices,"S Ijaz, S Noureen, B Rehman, O Aldaghri… ",2023 ,Materials Today …,Elsevier, 23,12.0
293,Forecasting renewable energy generation with machine learning and deep learning: Current advances and future prospects,"NE Benti, MD Chaka, AG Semie ",2023 ,Sustainability,mdpi.com, 66,33.0
294,[PDF][PDF] Big Data: the Fuel for Machine Learning and AI Advancement,"F Tahir, M Khan ",2023 ,2023 ,easychair.org, 130,65.0
295,Sustainable energies and machine learning: An organized review of recent applications and challenges,"P Ifaei, M Nazari-Heris, AST Charmchi, S Asadi… ",2023 ,Energy,Elsevier, 44,22.0
296,Mitigating bias in radiology machine learning: 1. Data handling,"P Rouzrokh, B Khosravi, S Faghani… ",2022 ,Radiology: Artificial …,pubs.rsna.org, 83,28.0
297,The role of natural resources in the management of environmental sustainability: Machine learning approach,"A Rao, A Talan, S Abbas, D Dev, F Taghizadeh-Hesary ",2023 ,Resources Policy,Elsevier, 39,20.0
298,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms,"FK Alarfaj, I Malik, HU Khan, N Almusallam… ",2022 ,IEEE …,ieeexplore.ieee.org, 178,59.0
299,[BOOK][B] Random matrix methods for machine learning,"R Couillet, Z Liao ",2022 ,2022 ,books.google.com, 70,23.0
300,"Forecasting of crop yield using remote sensing data, agrarian factors and machine learning approaches","JP Bharadiya, NT Tzenios… ",2023 ,Journal of Engineering …,classical.goforpromo.com, 197,98.0
301,Machine learning at the service of meta-heuristics for solving combinatorial optimization problems: A state-of-the-art,"M Karimi-Mamaghan, M Mohammadi, P Meyer… ",2022 ,European Journal of …,Elsevier, 307,102.0
302,[BOOK][B] Metalearning: applications to automated machine learning and data mining,"P Brazdil, JN Van Rijn, C Soares, J Vanschoren ",2022 ,2022 ,library.oapen.org, 65,22.0
303,Machine learning for chemical reactivity: the importance of failed experiments,"F Strieth‐Kalthoff, F Sandfort… ",2022 ,Angewandte Chemie …,Wiley Online Library, 107,36.0
304,[HTML][HTML] Perspectives in machine learning for wildlife conservation,"D Tuia, B Kellenberger, S Beery, BR Costelloe… ",2022 ,Nature …,nature.com, 410,137.0
305,Sepsis biomarkers and diagnostic tools with a focus on machine learning,"M Komorowski, A Green, KC Tatham, C Seymour… ",2022 ,…,thelancet.com, 61,20.0
306,Network-based machine learning approach to predict immunotherapy response in cancer patients,"JH Kong, D Ha, J Lee, I Kim, M Park, SH Im… ",2022 ,Nature …,nature.com, 102,34.0
307,The effects of data quality on machine learning performance,"L Budach, M Feuerpfeil, N Ihde, A Nathansen… ",2022 ,arXiv preprint arXiv …,arxiv.org, 115,38.0
308,Leaf disease detection using machine learning and deep learning: Review and challenges,"C Sarkar, D Gupta, U Gupta, BB Hazarika ",2023 ,Applied Soft Computing,Elsevier, 68,34.0
309,SEM-machine learning-based model for perusing the adoption of metaverse in higher education in UAE,"A Aburayya, S Salloum, K Alderbashi… ",2023 ,… Journal of Data and …,growingscience.com, 93,46.0
310,Machine learning in nuclear physics at low and intermediate energies,"W He, Q Li, Y Ma, Z Niu, J Pei, Y Zhang ",2023 ,Science China Physics …,Springer, 60,30.0
311,Applications of machine learning techniques for enhancing nondestructive food quality and safety detection,"Y Lin, J Ma, Q Wang, DW Sun ",2023 ,Critical Reviews in Food Science …,Taylor & Francis, 70,35.0
312,"Review on machine learning-based bioprocess optimization, monitoring, and control systems","PP Mondal, A Galodha, VK Verma, V Singh… ",2023 ,Bioresource …,Elsevier, 60,30.0
313,Machine learning–assisted design of material properties,"S Kadulkar, ZM Sherman, V Ganesan… ",2022 ,Annual Review of …,annualreviews.org, 32,11.0
314,"Machine learning applications in river research: Trends, opportunities and challenges","L Ho, P Goethals ",2022 ,Methods in Ecology and Evolution,Wiley Online Library, 22,7.0
315,"Why black box machine learning should be avoided for high-stakes decisions, in brief",C Rudin ,2022 ,Nature Reviews Methods Primers,nature.com, 49,16.0
316,NetKet 3: Machine learning toolbox for many-body quantum systems,"F Vicentini, D Hofmann, A Szabó, D Wu… ",2022 ,SciPost Physics …,scipost.org, 101,34.0
317,Multimodal machine learning in precision health: A scoping review,"A Kline, H Wang, Y Li, S Dennis, M Hutch, Z Xu… ",2022 ,npj Digital …,nature.com, 157,52.0
318,From distributed machine learning to federated learning: A survey,"J Liu, J Huang, Y Zhou, X Li, S Ji, H Xiong… ",2022 ,… and Information Systems,Springer, 235,78.0
319,Integration of knowledge and data in machine learning,"Y Chen, D Zhang ",2022 ,arXiv preprint arXiv:2202.10337,arxiv.org, 43,14.0
320,Artificial intelligence and machine learning technology driven modern drug discovery and development,"C Sarkar, B Das, VS Rawat, JB Wahlang… ",2023 ,International Journal of …,mdpi.com, 110,55.0
321,[HTML][HTML] Human–robot collaboration and machine learning: A systematic review of recent research,"F Semeraro, A Griffiths, A Cangelosi ",2023 ,Robotics and Computer-Integrated …,Elsevier, 158,79.0
322,Customer churn prediction system: a machine learning approach,"P Lalwani, MK Mishra, JS Chadha, P Sethi ",2022 ,Computing,Springer, 265,88.0
323,Machine learning for healthcare wearable devices: the big picture,"F Sabry, T Eltaras, W Labda, K Alzoubi… ",2022 ,Journal of Healthcare …,Wiley Online Library, 167,56.0
324,Using machine learning to predict complications in pregnancy: a systematic review,"A Bertini, R Salas, S Chabert, L Sobrevia… ",2022 ,… in bioengineering and …,frontiersin.org, 73,24.0
325,Quantum machine learning for chemistry and physics,"M Sajjan, J Li, R Selvarajan, SH Sureshbabu… ",2022 ,Chemical Society …,pubs.rsc.org, 91,30.0
326,Machine learning algorithms for efficient water quality prediction,"M Azrour, J Mabrouki, G Fattah, A Guezzaz… ",2022 ,Modeling Earth Systems …,Springer, 114,38.0
327,Multiple disease prediction using Machine learning algorithms,"K Arumugam, M Naved, PP Shinde… ",2023 ,Materials Today …,Elsevier, 134,67.0
328,Air pollution prediction with machine learning: a case study of Indian cities,"K Kumar, BP Pande ",2023 ,International Journal of Environmental Science and …,Springer, 147,74.0
329,On the analyses of medical images using traditional machine learning techniques and convolutional neural networks,"S Iqbal, A N. Qureshi, J Li, T Mahmood ",2023 ,Archives of Computational …,Springer, 71,36.0
330,Supervised machine learning and associated algorithms: applications in orthopedic surgery,"JA Pruneski, A Pareek, KN Kunze, RK Martin… ",2023 ,"Knee Surgery, Sports …",Springer, 35,18.0
331,Tackling prediction uncertainty in machine learning for healthcare,"M Chua, D Kim, J Choi, NG Lee… ",2023 ,Nature Biomedical …,nature.com, 43,22.0
332,Predicting agriculture yields based on machine learning using regression and deep learning,"P Sharma, P Dadheech, N Aneja, S Aneja ",2023 ,IEEE Access,ieeexplore.ieee.org, 34,17.0
333,Machine learning on small size samples: A synthetic knowledge synthesis,"P Kokol, M Kokol, S Zagoranski ",2022 ,Science Progress,journals.sagepub.com, 146,49.0
334,Cellular traffic prediction with machine learning: A survey,W Jiang ,2022 ,Expert Systems with Applications,Elsevier, 96,32.0
335,[HTML][HTML] Adaptive machine learning for protein engineering,"BL Hie, KK Yang ",2022 ,Current opinion in structural biology,Elsevier, 85,28.0
336,Part of speech tagging: a systematic review of deep learning and machine learning approaches,"A Chiche, B Yitagesu ",2022 ,Journal of Big Data,Springer, 187,62.0
337,Group-invariant quantum machine learning,"M Larocca, F Sauvage, FM Sbahi, G Verdon, PJ Coles… ",2022 ,PRX Quantum,APS, 135,45.0
338,[HTML][HTML] Knowledge graphs as tools for explainable machine learning: A survey,"I Tiddi, S Schlobach ",2022 ,Artificial Intelligence,Elsevier, 217,72.0
339,Will we run out of data? an analysis of the limits of scaling datasets in machine learning,"P Villalobos, J Sevilla, L Heim, T Besiroglu… ",2022 ,arXiv preprint arXiv …,arxiv.org, 142,47.0
340,[HTML][HTML] Plant leaf disease detection using computer vision and machine learning algorithms,"SS Harakannanavar, JM Rudagi… ",2022 ,Global Transitions …,Elsevier, 254,85.0
341,Predicting Fetal Health using Cardiotocograms: A Machine Learning Approach,RR Dixit ,2022 ,Journal of Advanced Analytics in Healthcare …,research.tensorgate.org, 52,17.0
342,[Retracted] A Novel Diabetes Healthcare Disease Prediction Framework Using Machine Learning Techniques,"R Krishnamoorthi, S Joshi… ",2022 ,Journal of healthcare …,Wiley Online Library, 204,68.0
343,A robust chronic kidney disease classifier using machine learning,"D Swain, U Mehta, A Bhatt, H Patel, K Patel, D Mehta… ",2023 ,Electronics,mdpi.com, 47,24.0
344,Machine learning-based heart disease diagnosis: A systematic literature review,"MM Ahsan, Z Siddique ",2022 ,Artificial Intelligence in Medicine,Elsevier, 254,85.0
345,Machine learning advances in microbiology: A review of methods and applications,"Y Jiang, J Luo, D Huang, Y Liu, D Li ",2022 ,Frontiers in Microbiology,frontiersin.org, 36,12.0
346,Toward a sociology of machine learning explainability: Human–machine interaction in deep neural network-based automated trading,"C Borch, B Hee Min ",2022 ,Big Data & Society,journals.sagepub.com, 43,14.0
347,Exposing the limitations of molecular machine learning with activity cliffs,"D Van Tilborg, A Alenicheva… ",2022 ,Journal of chemical …,ACS Publications, 122,41.0
348,A comparative study of different machine learning methods for reservoir landslide displacement prediction,"Y Wang, H Tang, J Huang, T Wen, J Ma, J Zhang ",2022 ,Engineering Geology,Elsevier, 115,38.0
349,Climate-invariant machine learning,"T Beucler, P Gentine, J Yuval, A Gupta, L Peng… ",2024 ,Science …,science.org, 50,50.0
350,"CheckM2: a rapid, scalable and accurate tool for assessing microbial genome quality using machine learning","A Chklovski, DH Parks, BJ Woodcroft, GW Tyson ",2023 ,Nature Methods,nature.com, 263,132.0
351,[HTML][HTML] Maximizing information from chemical engineering data sets: Applications to machine learning,"A Thebelt, J Wiebe, J Kronqvist, C Tsay… ",2022 ,Chemical Engineering …,Elsevier, 60,20.0
352,"Machine learning for the discovery, design, and engineering of materials","C Duan, A Nandy, HJ Kulik ",2022 ,Annual Review of Chemical and …,annualreviews.org, 30,10.0
353,Chemical reaction networks and opportunities for machine learning,"M Wen, EWC Spotte-Smith, SM Blau… ",2023 ,Nature Computational …,nature.com, 59,30.0
354,Machine learning and deep learning for sentiment analysis across languages: A survey,"EM Mercha, H Benbrahim ",2023 ,Neurocomputing,Elsevier, 58,29.0
355,Exploring machine learning: a scientometrics approach using bibliometrix and VOSviewer,"DO Oyewola, EG Dada ",2022 ,SN Applied Sciences,Springer, 105,35.0
356,Is quantum advantage the right goal for quantum machine learning?,"M Schuld, N Killoran ",2022 ,Prx Quantum,APS, 156,52.0
357,Bias mitigation for machine learning classifiers: A comprehensive survey,"M Hort, Z Chen, JM Zhang, M Harman… ",2024 ,ACM Journal on …,dl.acm.org, 108,108.0
358,Machine learning for dementia prediction: a systematic review and future research directions,"A Javeed, AL Dallora, JS Berglund, A Ali, L Ali… ",2023 ,Journal of medical …,Springer, 61,30.0
359,Recent developments in causal inference and machine learning,"JE Brand, X Zhou, Y Xie ",2023 ,Annual Review of Sociology,annualreviews.org, 26,13.0
360,Truth serum: Poisoning machine learning models to reveal their secrets,"F Tramèr, R Shokri, A San Joaquin, H Le… ",2022 ,Proceedings of the …,dl.acm.org, 105,35.0
361,Operationalizing machine learning: An interview study,"S Shankar, R Garcia, JM Hellerstein… ",2022 ,arXiv preprint arXiv …,arxiv.org, 57,19.0
362,Machine learning model towards evaluating data gathering methods in manufacturing and mechanical engineering,"M Amini, K Sharifani, A Rahmani ",2023 ,International Journal of Applied …,papers.ssrn.com, 124,62.0
363,Machine learning integrated design for additive manufacturing,"J Jiang, Y Xiong, Z Zhang, DW Rosen ",2022 ,Journal of Intelligent …,Springer, 195,65.0
364,[PDF][PDF] Diabetes Risk Assessment Using Machine Learning: A Comparative Study of Classification Algorithms,CK Suryadevara ,2023 ,IEJRD-International Multidisciplinary Journal,researchgate.net, 33,16.0
365,[PDF][PDF] Artificial Intelligence and Machine Learning: The Impact of Machine Learning on Predictive Analytics in Healthcare,H Rehan ,2023 ,Innovative Computer Sciences Journal,researchgate.net, 46,23.0
366,A review of data-driven machinery fault diagnosis using machine learning algorithms,"J Cen, Z Yang, X Liu, J Xiong, H Chen ",2022 ,Journal of Vibration Engineering & …,Springer, 75,25.0
367,[HTML][HTML] Empirical method for thyroid disease classification using a machine learning approach,"T Alyas, M Hamid, K Alissa, T Faiz… ",2022 ,BioMed Research …,ncbi.nlm.nih.gov, 73,24.0
368,[HTML][HTML] Rainfall prediction: A comparative analysis of modern machine learning algorithms for time-series forecasting,"AY Barrera-Animas, LO Oyedele, M Bilal… ",2022 ,Machine Learning with …,Elsevier, 204,68.0
369,Exploring catalytic reaction networks with machine learning,"JT Margraf, H Jung, C Scheurer, K Reuter ",2023 ,Nature Catalysis,nature.com, 61,30.0
370,[BOOK][B] Applications of machine learning and deep learning on biological data,"F Masoodi, M Quasim, S Bukhari, S Dixit, S Alam ",2023 ,2023 ,books.google.com, 27,14.0
371,Quantum Machine Learning: Scope for real-world problems,"A Jadhav, A Rasool, M Gyanchandani ",2023 ,Procedia Computer Science,Elsevier, 34,17.0
372,Machine learning for detection and prediction of crop diseases and pests: A comprehensive survey,"T Domingues, T Brandão, JC Ferreira ",2022 ,Agriculture,mdpi.com, 103,34.0
373,Identifying disease and diagnosis in females using machine learning,"S Pramanik, SK Bandyopadhyay ",2023 ,… Science and Machine Learning,igi-global.com, 33,16.0
374,Integrated sensing and communication for 6G: Ten key machine learning roles,"U Demirhan, A Alkhateeb ",2023 ,IEEE Communications Magazine,ieeexplore.ieee.org, 76,38.0
375,MAGUS: machine learning and graph theory assisted universal structure searcher,"J Wang, H Gao, Y Han, C Ding, S Pan… ",2023 ,National Science …,academic.oup.com, 35,18.0
376,Attacks on machine learning systems-common problems and methods,"E Ilyushin, D Namiot, I Chizhov ",2022 ,International Journal of Open Information …,injoit.org, 45,15.0
377,Statistical and machine learning methods for spatially resolved transcriptomics data analysis,"Z Zeng, Y Li, Y Li, Y Luo ",2022 ,Genome biology,Springer, 116,39.0
378,Machine learning for intelligent energy consumption in smart homes,A Alzoubi ,2022 ,"International Journal of Computations, Information …",journals.gaftim.com, 182,61.0
379,[HTML][HTML] Soft electronics for health monitoring assisted by machine learning,"Y Qiao, J Luo, T Cui, H Liu, H Tang, Y Zeng, C Liu… ",2023 ,Nano-Micro Letters,Springer, 50,25.0
380,Using machine learning in photovoltaics to create smarter and cleaner energy generation systems: A comprehensive review,"A Sohani, H Sayyaadi, C Cornaro… ",2022 ,Journal of Cleaner …,Elsevier, 59,20.0
381,ktrain: A low-code library for augmented machine learning,AS Maiya ,2022 ,Journal of Machine Learning Research,jmlr.org, 168,56.0
382,Machine learning and artificial intelligence use in marketing: a general taxonomy,"A De Mauro, A Sestino, A Bacconi ",2022 ,Italian Journal of Marketing,Springer, 66,22.0
383,"Modeling, diagnostics, optimization, and control of internal combustion engines via modern machine learning techniques: A review and future directions","M Aliramezani, CR Koch, M Shahbakhti ",2022 ,Progress in Energy and …,Elsevier, 179,60.0
384,[HTML][HTML] A survey of machine learning in kidney disease diagnosis,"J Qezelbash-Chamak, S Badamchizadeh… ",2022 ,Machine Learning with …,Elsevier, 29,10.0
385,Reimagining multi-criterion decision making by data-driven methods based on machine learning: A literature review,"H Liao, Y He, X Wu, Z Wu, R Bausys ",2023 ,Information Fusion,Elsevier, 28,14.0
386,Recent advances in machine learning for fiber optic sensor applications,"A Venketeswaran, N Lalam… ",2022 ,Advanced Intelligent …,Wiley Online Library, 147,49.0
387,Twenty years of machine-learning-based text classification: A systematic review,"A Palanivinayagam, CZ El-Bayeh, R Damaševičius ",2023 ,Algorithms,mdpi.com, 38,19.0
388,[HTML][HTML] How machine learning informs ride-hailing services: A survey,"Y Liu, R Jia, J Ye, X Qu ",2022 ,Communications in Transportation Research,Elsevier, 87,29.0
389,A survey for solving mixed integer programming via machine learning,"J Zhang, C Liu, X Li, HL Zhen, M Yuan, Y Li, J Yan ",2023 ,Neurocomputing,Elsevier, 62,31.0
390,Machine learning-based methods in structural reliability analysis: A review,"SS Afshari, F Enayatollahi, X Xu, X Liang ",2022 ,Reliability Engineering & System …,Elsevier, 221,74.0
391,Machine learning algorithms to forecast air quality: a survey,"M Méndez, MG Merayo, M Núñez ",2023 ,Artificial Intelligence Review,Springer, 121,60.0
392,[HTML][HTML] Smart farming using machine learning and deep learning techniques,"SKS Durai, MD Shamili ",2022 ,Decision Analytics Journal,Elsevier, 122,41.0
393,The state of art on the prediction of efficiency and modeling of the processes of pollutants removal based on machine learning,"N Taoufik, W Boumya, M Achak, H Chennouk… ",2022 ,Science of the Total …,Elsevier, 90,30.0
394,Towards the next generation of machine learning models in additive manufacturing: A review of process dependent material evolution,"M Parsazadeh, S Sharma, N Dahotre ",2023 ,Progress in Materials Science,Elsevier, 48,24.0
395,Predicting preeminent Machine Learning Approach on Stars,"S Manna, V Jalodia, K Kumar, V Tripathi… ",2022 ,2022 2nd …,ieeexplore.ieee.org, 39,13.0
396,Dequantizing algorithms to understand quantum advantage in machine learning,E Tang ,2022 ,Nature Reviews Physics,nature.com, 24,8.0
397,A comprehensive review of machine learning algorithms and their application in geriatric medicine: present and future,"RJ Woodman, AA Mangoni ",2023 ,Aging Clinical and Experimental Research,Springer, 38,19.0
398,[HTML][HTML] Opening the black box: the promise and limitations of explainable machine learning in cardiology,"J Petch, S Di, W Nelson ",2022 ,Canadian Journal of Cardiology,Elsevier, 353,118.0
399,Machine learning in cybersecurity: a comprehensive survey,"D Dasgupta, Z Akhtar, S Sen ",2022 ,The Journal of Defense …,journals.sagepub.com, 215,72.0
400,Bias in machine learning models can be significantly mitigated by careful training: Evidence from neuroimaging studies,"R Wang, P Chaudhari… ",2023 ,Proceedings of the …,National Acad Sciences, 64,32.0
401,Machine learning and AI technologies for smart wearables,"KP Seng, LM Ang, E Peter, A Mmonyi ",2023 ,Electronics,mdpi.com, 27,14.0
402,Intrusion detection system using feature extraction with machine learning algorithms in IoT,"D Musleh, M Alotaibi, F Alhaidari, A Rahman… ",2023 ,Journal of Sensor and …,mdpi.com, 57,28.0
403,[HTML][HTML] A pipeline and comparative study of 12 machine learning models for text classification,"A Occhipinti, L Rogers, C Angione ",2022 ,Expert Systems with Applications,Elsevier, 49,16.0
404,Beyond generalization: a theory of robustness in machine learning,"T Freiesleben, T Grote ",2023 ,Synthese,Springer, 28,14.0
405,Machine learning predicts and optimizes hydrothermal liquefaction of biomass,"A Shafizadeh, H Shahbeig, MH Nadian, H Mobli… ",2022 ,Chemical Engineering …,Elsevier, 103,34.0
406,Application of machine learning algorithms in hydrology,"H Mosaffa, M Sadeghi, I Mallakpour… ",2022 ,Computers in earth and …,Elsevier, 47,16.0
407,Precision irrigation management using machine learning and digital farming solutions,"EA Abioye, O Hensel, TJ Esau, O Elijah, MSZ Abidin… ",2022 ,AgriEngineering,mdpi.com, 161,54.0
408,Explaining machine learning models with interactive natural language conversations using TalkToModel,"D Slack, S Krishna, H Lakkaraju, S Singh ",2023 ,Nature Machine Intelligence,nature.com, 48,24.0
409,A comparative study on student performance prediction using machine learning,"Y Chen, L Zhai ",2023 ,Education and Information Technologies,Springer, 37,18.0
410,A survey of the opportunities and challenges of supervised machine learning in maritime risk analysis,"A Rawson, M Brito ",2023 ,Transport Reviews,Taylor & Francis, 70,35.0
411,HealthGuard: An intelligent healthcare system security framework based on machine learning,"A Sundas, S Badotra, S Bharany, A Almogren… ",2022 ,Sustainability,mdpi.com, 32,11.0
412,A method for improving prediction of human heart disease using machine learning algorithms,"A Saboor, M Usman, S Ali, A Samad… ",2022 ,Mobile Information …,Wiley Online Library, 105,35.0
413,"Advances in computational intelligence of polymer composite materials: machine learning assisted modeling, analysis and design","A Sharma, T Mukhopadhyay, SM Rangappa… ",2022 ,… Methods in Engineering,Springer, 141,47.0
414,"[HTML][HTML] The classification method study of crops remote sensing with deep learning, machine learning, and Google Earth engine","J Yao, J Wu, C Xiao, Z Zhang, J Li ",2022 ,Remote Sensing,mdpi.com, 49,16.0
415,Molecular representations for machine learning applications in chemistry,"S Raghunathan, UD Priyakumar ",2022 ,International Journal of …,Wiley Online Library, 54,18.0
416,Technology readiness levels for machine learning systems,"A Lavin, CM Gilligan-Lee, A Visnjic, S Ganju… ",2022 ,Nature …,nature.com, 111,37.0
417,Quantum machine learning—an overview,"KA Tychola, T Kalampokas, GA Papakostas ",2023 ,Electronics,mdpi.com, 32,16.0
418,Advances in application of machine learning to life cycle assessment: a literature review,"A Ghoroghi, Y Rezgui, I Petri, T Beach ",2022 ,The International Journal of Life …,Springer, 74,25.0
419,Secure preschool education using machine learning and metaverse technologies,Q Zhang ,2023 ,Applied Artificial Intelligence,Taylor & Francis, 29,14.0
420,Translating promise into practice: a review of machine learning in suicide research and prevention,"OJ Kirtley, K van Mens, M Hoogendoorn… ",2022 ,The Lancet …,thelancet.com, 45,15.0
421,"Machine learning and artificial intelligence in disease prediction: Applications, challenges, limitations, case studies, and future directions","K Ramudu, VM Mohan, D Jyothirmai… ",2023 ,… Applications of Data …,igi-global.com, 92,46.0
422,Trends in vision-based machine learning techniques for plant disease identification: A systematic review,"PS Thakur, P Khanna, T Sheorey, A Ojha ",2022 ,Expert Systems with …,Elsevier, 120,40.0
423,"Comprehensive review of machine learning in geotechnical reliability analysis: Algorithms, applications and further challenges","W Zhang, X Gu, L Hong, L Han, L Wang ",2023 ,Applied Soft Computing,Elsevier, 63,32.0
424,Machine learning in sports science: challenges and opportunities,"C Richter, M O'Reilly, E Delahunt ",2024 ,Sports Biomechanics,Taylor & Francis, 52,52.0
425,A critical review on diagnosis of diabetic retinopathy using machine learning and deep learning,"D Das, SK Biswas, S Bandyopadhyay ",2022 ,Multimedia Tools and Applications,Springer, 91,30.0
426,Machine learning techniques for breast cancer prediction,"V Nemade, V Fegade ",2023 ,Procedia Computer Science,Elsevier, 42,21.0
427,[PDF][PDF] Machine Learning for Modeling and Control of Industrial Clarifier Process.,"M Rajalakshmi, V Saravanan… ",2022 ,… Automation & Soft …,researchgate.net, 95,32.0
428,Enhancing the prediction of student performance based on the machine learning XGBoost algorithm,"A Asselman, M Khaldi, S Aammou ",2023 ,Interactive Learning …,Taylor & Francis, 184,92.0
429,"A comprehensive review on machine learning in healthcare industry: classification, restrictions, opportunities and challenges","Q An, S Rahman, J Zhou, JJ Kang ",2023 ,Sensors,mdpi.com, 88,44.0
430,"Internet of things (iot) security intelligence: a comprehensive overview, machine learning solutions and research directions","IH Sarker, AI Khan, YB Abushark, F Alsolami ",2023 ,Mobile Networks and …,Springer, 277,138.0
431,Application of machine learning algorithms in municipal solid waste management: A mini review,"W Xia, Y Jiang, X Chen, R Zhao ",2022 ,Waste Management & …,journals.sagepub.com, 139,46.0
432,The role of machine learning and deep learning approaches for the detection of skin cancer,"T Mazhar, I Haq, A Ditta, SAH Mohsan, F Rehman… ",2023 ,Healthcare,mdpi.com, 62,31.0
433,Graph data augmentation for graph machine learning: A survey,"T Zhao, W Jin, Y Liu, Y Wang, G Liu… ",2022 ,arXiv preprint arXiv …,arxiv.org, 103,34.0
434,A new solution for cyber security in big data using machine learning approach,"R Rawat, OA Oki, KS Sankaran, O Olasupo… ",2023 ,Mobile Computing and …,Springer, 52,26.0
435,Taxonomy of machine learning paradigms: A data‐centric perspective,"F Emmert‐Streib, M Dehmer ",2022 ,Wiley Interdisciplinary Reviews …,Wiley Online Library, 33,11.0
